"League","Year","blueTeamTag","bResult","rResult","redTeamTag","id_mathinfo"
"NALCS","2016","TSM","0","1","NRG","334"
"NALCS","2016","TIP","0","1","REN","335"
"NALCS","2016","TSM","1","0","CLG","336"
"NALCS","2016","CLG","0","1","TSM","337"
"NALCS","2016","NV","1","0","NRG","338"
"NALCS","2016","NRG","1","0","NV","339"
"NALCS","2016","NV","1","0","NRG","340"
"NALCS","2016","C9","0","1","IMT","341"
"NALCS","2016","IMT","0","1","C9","342"
"NALCS","2016","C9","0","1","IMT","343"
"NALCS","2016","NV","1","0","TL","344"
"NALCS","2016","TL","0","1","NV","345"
"NALCS","2016","APX","1","0","CLG","346"
"NALCS","2016","CLG","1","0","APX","347"
"NALCS","2016","APX","1","0","CLG","348"
"NALCS","2016","FOX","1","0","C9","349"
"NALCS","2016","C9","1","0","FOX","350"
"NALCS","2016","FOX","0","1","C9","351"
"NALCS","2016","FOX","1","0","P1","352"
"NALCS","2016","P1","0","1","FOX","353"
"NALCS","2016","APX","1","0","NRG","354"
"NALCS","2016","NRG","0","1","APX","355"
"NALCS","2016","TSM","1","0","TL","356"
"NALCS","2016","TL","0","1","TSM","357"
"NALCS","2016","IMT","1","0","P1","358"
"NALCS","2016","P1","0","1","IMT","359"
"NALCS","2016","NRG","1","0","IMT","360"
"NALCS","2016","IMT","1","0","NRG","361"
"NALCS","2016","NRG","0","1","IMT","362"
"NALCS","2016","APX","0","1","NV","363"
"NALCS","2016","NV","0","1","APX","364"
"NALCS","2016","APX","0","1","NV","365"
"NALCS","2016","TL","1","0","CLG","366"
"NALCS","2016","CLG","1","0","TL","367"
"NALCS","2016","TL","0","1","CLG","368"
"NALCS","2016","P1","0","1","C9","369"
"NALCS","2016","C9","0","1","P1","370"
"NALCS","2016","P1","0","1","C9","371"
"NALCS","2016","TSM","1","0","IMT","372"
"NALCS","2016","IMT","1","0","TSM","373"
"NALCS","2016","TSM","1","0","IMT","374"
"NALCS","2016","FOX","0","1","TL","375"
"NALCS","2016","TL","1","0","FOX","376"
"NALCS","2016","NRG","1","0","FOX","377"
"NALCS","2016","FOX","0","1","NRG","378"
"NALCS","2016","TSM","1","0","APX","379"
"NALCS","2016","APX","0","1","TSM","380"
"NALCS","2016","NV","1","0","P1","381"
"NALCS","2016","P1","0","1","NV","382"
"NALCS","2016","CLG","0","1","C9","383"
"NALCS","2016","C9","1","0","CLG","384"
"NALCS","2016","C9","0","1","TSM","385"
"NALCS","2016","TSM","0","1","C9","386"
"NALCS","2016","C9","0","1","TSM","387"
"NALCS","2016","TL","1","0","P1","388"
"NALCS","2016","P1","0","1","TL","389"
"NALCS","2016","IMT","1","0","NV","390"
"NALCS","2016","NV","0","1","IMT","391"
"NALCS","2016","TL","1","0","NRG","392"
"NALCS","2016","NRG","1","0","TL","393"
"NALCS","2016","TL","1","0","NRG","394"
"NALCS","2016","NRG","0","1","TSM","395"
"NALCS","2016","TSM","1","0","NRG","396"
"NALCS","2016","FOX","0","1","IMT","397"
"NALCS","2016","IMT","1","0","FOX","398"
"NALCS","2016","CLG","1","0","FOX","399"
"NALCS","2016","FOX","0","1","CLG","400"
"NALCS","2016","P1","0","1","APX","401"
"NALCS","2016","APX","0","1","P1","402"
"NALCS","2016","P1","0","1","APX","403"
"NALCS","2016","APX","0","1","C9","404"
"NALCS","2016","C9","0","1","APX","405"
"NALCS","2016","APX","0","1","C9","406"
"NALCS","2016","CLG","1","0","NV","407"
"NALCS","2016","NV","1","0","CLG","408"
"NALCS","2016","CLG","0","1","NV","409"
"NALCS","2016","CLG","1","0","IMT","410"
"NALCS","2016","IMT","1","0","CLG","411"
"NALCS","2016","CLG","0","1","IMT","412"
"NALCS","2016","APX","0","1","TL","413"
"NALCS","2016","C9","1","0","NV","414"
"NALCS","2016","NV","0","1","C9","415"
"NALCS","2016","IMT","1","0","TL","416"
"NALCS","2016","TL","0","1","IMT","417"
"NALCS","2016","C9","1","0","NRG","418"
"NALCS","2016","NRG","0","1","C9","419"
"NALCS","2016","P1","0","1","CLG","420"
"NALCS","2016","CLG","1","0","P1","421"
"NALCS","2016","TSM","0","1","FOX","422"
"NALCS","2016","FOX","0","1","TSM","423"
"NALCS","2016","TSM","1","0","FOX","424"
"NALCS","2016","NRG","1","0","P1","425"
"NALCS","2016","P1","1","0","NRG","426"
"NALCS","2016","NRG","1","0","P1","427"
"NALCS","2016","NV","0","1","TSM","428"
"NALCS","2016","TSM","1","0","NV","429"
"NALCS","2016","APX","1","0","FOX","430"
"NALCS","2016","FOX","0","1","APX","431"
"NALCS","2016","C9","1","0","TL","432"
"NALCS","2016","TL","1","0","C9","433"
"NALCS","2016","C9","0","1","TL","434"
"NALCS","2016","FOX","1","0","NV","435"
"NALCS","2016","NV","1","0","FOX","436"
"NALCS","2016","FOX","0","1","NV","437"
"NALCS","2016","NRG","0","1","CLG","438"
"NALCS","2016","CLG","1","0","NRG","439"
"NALCS","2016","IMT","1","0","APX","440"
"NALCS","2016","APX","0","1","IMT","441"
"NALCS","2016","CLG","0","1","TSM","442"
"NALCS","2016","TSM","1","0","CLG","443"
"NALCS","2016","APX","1","0","P1","444"
"NALCS","2016","P1","1","0","APX","445"
"NALCS","2016","APX","0","1","P1","446"
"NALCS","2016","P1","0","1","TSM","447"
"NALCS","2016","TSM","1","0","P1","448"
"NALCS","2016","TL","1","0","NV","449"
"NALCS","2016","NV","0","1","TL","450"
"NALCS","2016","FOX","0","1","NRG","451"
"NALCS","2016","NRG","1","0","FOX","452"
"NALCS","2016","IMT","1","0","C9","453"
"NALCS","2016","C9","0","1","IMT","454"
"NALCS","2016","TSM","1","0","C9","455"
"NALCS","2016","C9","0","1","TSM","456"
"NALCS","2016","NV","0","1","IMT","457"
"NALCS","2016","IMT","1","0","NV","458"
"NALCS","2016","NRG","0","1","APX","459"
"NALCS","2016","APX","1","0","NRG","460"
"NALCS","2016","TL","0","1","IMT","461"
"NALCS","2016","IMT","0","1","TL","462"
"NALCS","2016","TL","0","1","IMT","463"
"NALCS","2016","APX","0","1","TSM","464"
"NALCS","2016","TSM","1","0","APX","465"
"NALCS","2016","CLG","0","1","P1","466"
"NALCS","2016","P1","0","1","CLG","467"
"NALCS","2016","CLG","1","0","P1","468"
"NALCS","2016","P1","0","1","FOX","469"
"NALCS","2016","FOX","0","1","P1","470"
"NALCS","2016","P1","1","0","FOX","471"
"NALCS","2016","NV","0","1","CLG","472"
"NALCS","2016","CLG","1","0","NV","473"
"NALCS","2016","NRG","0","1","C9","474"
"NALCS","2016","C9","1","0","NRG","475"
"NALCS","2016","TL","1","0","FOX","476"
"NALCS","2016","FOX","1","0","TL","477"
"NALCS","2016","TL","1","0","FOX","478"
