bKills;WFX Flaresz;CST Cris;CST Impaler;CST Jesiz;CST Mash
bKills;WFX Altec;CST Jesiz;CST Cris;CST Mash;CST Sheep
bKills;WFX Flaresz;CST Mash;CST Impaler;CST Jesiz;CST Sheep
bKills;WFX Gleeb;CST Jesiz;CST Impaler;CST Mash;CST Sheep
bKills;WFX Pobelter;CST Cris;CST Impaler;CST Jesiz;
bKills;WFX ShorterACE;CST Cris;CST Impaler;CST Jesiz;CST Mash
bKills;WFX ShorterACE;CST Impaler;CST Cris;CST Mash;CST Sheep
bKills;WFX Gleeb;CST Mash;CST Cris;CST Impaler;CST Sheep
bKills;WFX ShorterACE;CST Cris;CST Impaler;CST Jesiz;CST Mash
bKills;WFX Flaresz;CST Impaler;CST Cris;CST Jesiz;CST Mash
bKills;WFX Gleeb;CST Cris;CST Impaler;CST Jesiz;CST Mash
bKills;WFX Pobelter;CST Mash;CST Cris;CST Impaler;CST Jesiz
bKills;WFX ShorterACE;CST Sheep;CST Cris;CST Impaler;CST Jesiz
bKills;WFX Altec;CST Mash;CST Cris;CST Impaler;CST Sheep
bKills;WFX Gleeb;CST Mash;CST Cris;CST Impaler;CST Jesiz
bKills;CLG Xmithie;TL Xpecial;;;
bKills;CLG Link;TL Quas;TL IWDominate;TL FeniX;
bKills;CLG Xmithie;TL IWDominate;TL FeniX;TL KEITH;TL Xpecial
bKills;CLG Aphromoo;TL KEITH;TL IWDominate;TL FeniX;TL Xpecial
bKills;CLG Link;TL KEITH;TL FeniX;;
bKills;CLG Benny;TL Quas;TL IWDominate;TL FeniX;TL KEITH
bKills;CLG Aphromoo;TL IWDominate;TL FeniX;;
bKills;CLG Aphromoo;TL KEITH;TL Xpecial;;
bKills;CLG Link;TL FeniX;TL IWDominate;;
bKills;CLG Xmithie;TL FeniX;TL IWDominate;;
bKills;CLG Xmithie;TL IWDominate;TL Quas;TL FeniX;TL KEITH
bKills;CLG Link;TL IWDominate;TL KEITH;TL Xpecial;
bKills;CLG Doublelift;TL Quas;TL IWDominate;TL KEITH;
bKills;CLG Xmithie;TL IWDominate;TL KEITH;TL Xpecial;
bKills;CLG Benny;TL KEITH;TL Quas;TL IWDominate;TL FeniX
bKills;CLG Aphromoo;TL FeniX;TL Quas;TL IWDominate;TL KEITH
bKills;CLG Aphromoo;TL KEITH;TL IWDominate;TL FeniX;TL Xpecial
bKills;CLG Benny;TL FeniX;TL IWDominate;TL Xpecial;
bKills;CLG Link;TL KEITH;TL IWDominate;TL FeniX;TL Xpecial
bKills;CLG Doublelift;TL KEITH;TL IWDominate;;
bKills;CLG Aphromoo;TL FeniX;TL IWDominate;TL KEITH;TL Xpecial
bKills;CLG Xmithie;TL FeniX;TL Quas;TL IWDominate;TL KEITH
bKills;CLG Xmithie;TL Xpecial;TL Quas;TL IWDominate;TL FeniX
bKills;CLG Benny;TL KEITH;TL Quas;TL IWDominate;TL Xpecial
bKills;CLG Aphromoo;TL KEITH;TL Quas;TL IWDominate;TL FeniX
bKills;CLG Doublelift;TL FeniX;TL Quas;TL KEITH;
bKills;CLG Link;TL Xpecial;TL Quas;TL FeniX;TL KEITH
bKills;GV Saintvicious;C9 Balls;C9 Hai;C9 Sneaky;C9 LemonNation
bKills;GV Keane;C9 Balls;C9 Hai;C9 Sneaky;C9 LemonNation
bKills;GV Saintvicious;C9 Sneaky;C9 Meteos;C9 LemonNation;
