Team,ban_1,ban_2,ban_3
blueBans,Fiora,Irelia,Anivia
blueBans,Zyra,Viktor,Twitch
blueBans,Caitlyn,Nidalee,Irelia
blueBans,Leblanc,Azir,Swain
blueBans,Zyra,Azir,Ryze
blueBans,Lissandra,Swain,Nidalee
blueBans,Maokai,Bard,Olaf
blueBans,Vladimir,Kindred,Varus
blueBans,Karma,Ryze,Azir
blueBans,TwistedFate,Olaf,Kindred
blueBans,Zilean,Ryze,Vladimir
blueBans,Kindred,Sivir,Zyra
blueBans,RekSai,Olaf,Ryze
blueBans,Vladimir,Swain,Braum
blueBans,Zyra,Soraka,Hecarim
blueBans,Illaoi,Sivir,Kindred
blueBans,Trundle,Azir,Bard
blueBans,Illaoi,Jax,Kindred
blueBans,Trundle,Azir,Bard
blueBans,Kindred,Twitch,Zyra
blueBans,Soraka,Azir,Nidalee
blueBans,Anivia,Vladimir,Karma
blueBans,Anivia,Zyra,Vladimir
blueBans,Ashe,Trundle,Azir
blueBans,RekSai,Nidalee,Vladimir
blueBans,Sivir,Azir,Ryze
blueBans,Nidalee,Vladimir,RekSai
blueBans,Azir,Trundle,Bard
blueBans,Fiora,Zilean,Ryze
blueBans,Azir,Shen,Trundle
blueBans,Swain,Karma,Vladimir
blueBans,Azir,Jax,Karma
blueBans,Swain,Vladimir,Lissandra
blueBans,Rumble,Irelia,Olaf
blueBans,Jax,Karma,Nidalee
blueBans,Rumble,Irelia,Olaf
blueBans,Azir,Kindred,Ryze
blueBans,Lissandra,Trundle,Nidalee
blueBans,Azir,Ryze,Shen
blueBans,Irelia,Karma,Ryze
blueBans,Soraka,Sivir,Lissandra
blueBans,Twitch,Jax,Ryze
blueBans,Azir,Ashe,Bard
blueBans,Jax,Fiora,Nidalee
blueBans,Shen,Cassiopeia,Lissandra
blueBans,Anivia,Hecarim,Vladimir
blueBans,Trundle,Kindred,Ryze
blueBans,Anivia,Shen,Vladimir
blueBans,Azir,Sivir,Bard
blueBans,Vladimir,Zyra,Viktor
blueBans,Azir,Shen,Bard
blueBans,Azir,Lucian,Swain
blueBans,Lissandra,Hecarim,Braum
blueBans,Anivia,Shen,Cassiopeia
blueBans,Trundle,Kindred,Ryze
blueBans,Karma,Trundle,Ryze
blueBans,Cassiopeia,Sivir,Braum
blueBans,Trundle,Azir,Olaf
blueBans,Nidalee,Lissandra,Ryze
blueBans,Cassiopeia,Shen,Anivia
blueBans,Nidalee,Trundle,Ryze
blueBans,Elise,Kindred,Jax
blueBans,Twitch,Illaoi,RekSai
blueBans,Braum,Karma,Nidalee
blueBans,Azir,Rumble,Soraka
blueBans,Swain,RekSai,TwistedFate
blueBans,Kindred,Elise,Ryze
blueBans,Sivir,Azir,Ryze
blueBans,Zilean,Cassiopeia,Vladimir
blueBans,Azir,Shen,Ryze
blueBans,RekSai,Azir,Vladimir
blueBans,Shen,Cassiopeia,Lissandra
blueBans,Swain,Lissandra,Karma
blueBans,Azir,Olaf,Trundle
blueBans,Twitch,Trundle,Illaoi
blueBans,Anivia,Cassiopeia,Ryze
blueBans,Braum,Bard,RekSai
blueBans,Karma,Rumble,Ryze
blueBans,Shen,Cassiopeia,Jhin
blueBans,Sivir,Karma,RekSai
blueBans,Azir,Cassiopeia,RekSai
blueBans,Trundle,Karma,Ryze
blueBans,Fiora,Jax,Zilean
blueBans,Twitch,Trundle,Karma
blueBans,Soraka,Rumble,Ryze
blueBans,Irelia,Karma,Vladimir
blueBans,Soraka,Rumble,Viktor
blueBans,Irelia,Ryze,Azir
blueBans,JarvanIV,Jhin,Jax
blueBans,Shen,Lissandra,Ashe
blueBans,Jax,Fiora,Ryze
blueBans,Shen,Lissandra,TwistedFate
blueBans,Anivia,Viktor,Cassiopeia
blueBans,Twitch,Bard,Karma
blueBans,Anivia,Ryze,Vladimir
blueBans,Azir,Jax,Ryze
blueBans,Lissandra,Sivir,Viktor
blueBans,Azir,Bard,Ashe
blueBans,Braum,Sivir,Ryze
blueBans,Soraka,Jax,Anivia
blueBans,Azir,Trundle,Ryze
blueBans,Soraka,Jax,Anivia
blueBans,Taliyah,Ryze,Vladimir
blueBans,Jax,Sivir,Bard
blueBans,Viktor,Gangplank,Taliyah
blueBans,Azir,Shen,Hecarim
blueBans,Illaoi,Gangplank,Viktor
blueBans,Azir,Irelia,Nidalee
blueBans,Anivia,Shen,Ryze
blueBans,Rumble,Braum,Azir
blueBans,Trundle,Taliyah,Shen
blueBans,Braum,Irelia,RekSai
blueBans,Jax,Ryze,Azir
blueBans,Malzahar,Shen,TwistedFate
blueBans,Sivir,Irelia,Gragas
blueBans,Taliyah,Sivir,Braum
blueBans,Shen,Braum,Ryze
blueBans,Lissandra,Ryze,Malzahar
blueBans,Twitch,RekSai,Jax
blueBans,Viktor,Azir,Olaf
blueBans,Malzahar,Sivir,Karma
blueBans,Anivia,Karma,Jax
blueBans,Azir,RekSai,Ryze
blueBans,RekSai,Ashe,Azir
blueBans,Malzahar,Lissandra,Karma
blueBans,Ashe,Azir,RekSai
blueBans,Twitch,Karma,Vladimir
blueBans,Azir,Soraka,Nidalee
blueBans,JarvanIV,Hecarim,Malzahar
blueBans,Anivia,Irelia,Malzahar
blueBans,JarvanIV,Taliyah,Nidalee
blueBans,Shen,Hecarim,RekSai
blueBans,Malzahar,Soraka,Sivir
blueBans,Shen,Hecarim,Vladimir
blueBans,Shen,Hecarim,Gangplank
blueBans,RekSai,Gnar,Vladimir
blueBans,Hecarim,Shen,Rengar
blueBans,Shen,Cassiopeia,Sivir
blueBans,Malzahar,Twitch,RekSai
blueBans,Shen,Gangplank,Braum
blueBans,Ashe,Bard,Gragas
blueBans,Shen,Taliyah,Ashe
blueBans,Karma,Trundle,Sivir
blueBans,Malzahar,RekSai,Ashe
blueBans,Nidalee,Sona,Irelia
blueBans,Gangplank,Trundle,Sivir
blueBans,Taliyah,Shen,RekSai
blueBans,Bard,Jax,Taliyah
blueBans,Anivia,Vladimir,Karma
blueBans,Karma,Nidalee,Sivir
blueBans,Rumble,RekSai,Taliyah
blueBans,Vladimir,Gangplank,Malzahar
blueBans,Shen,Azir,Cassiopeia
blueBans,Vladimir,Gangplank,Malzahar
blueBans,Twitch,Illaoi,Zilean
blueBans,Shen,Bard,Malzahar
blueBans,Twitch,Illaoi,Vladimir
blueBans,Anivia,Sivir,Vladimir
blueBans,Zilean,Irelia,Ashe
blueBans,Twitch,Malzahar,Illaoi
blueBans,Shen,Bard,Vladimir
blueBans,Twitch,Illaoi,Malzahar
blueBans,Malzahar,Gangplank,Karma
blueBans,Vladimir,Shen,Malzahar
blueBans,Karma,Trundle,Malzahar
blueBans,Soraka,JarvanIV,Irelia
blueBans,Karma,Trundle,Irelia
blueBans,Rumble,Taliyah,Zilean
blueBans,Shen,Mordekaiser,Trundle
blueBans,Rumble,Taliyah,Nidalee
blueBans,Hecarim,Vladimir,Irelia
blueBans,Karma,Malzahar,Gangplank
blueBans,Irelia,Cassiopeia,Hecarim
blueBans,Anivia,Jax,Fiora
blueBans,Trundle,KogMaw,Malzahar
blueBans,Corki,Graves,Gragas
blueBans,Gangplank,TwistedFate,LeeSin
blueBans,Graves,Poppy,Gragas
blueBans,Gangplank,TwistedFate,LeeSin
blueBans,Sivir,Kindred,Gangplank
blueBans,Poppy,Gragas,Ekko
blueBans,Sivir,Kindred,Gangplank
blueBans,Azir,Corki,Gragas
blueBans,Gangplank,Graves,Tristana
blueBans,Azir,Corki,Gragas
blueBans,Soraka,Graves,Gangplank
blueBans,Azir,Corki,Gragas
blueBans,Azir,Kindred,Poppy
blueBans,Soraka,TwistedFate,RekSai
blueBans,Azir,Kindred,Poppy
blueBans,Kindred,Poppy,Nidalee
blueBans,Soraka,RekSai,Gangplank
blueBans,Kindred,Nidalee,Poppy
blueBans,Zed,Azir,Maokai
blueBans,Soraka,Ryze,Kindred
blueBans,Zed,Azir,Maokai
blueBans,Soraka,Ryze,Ekko
blueBans,Azir,Nidalee,Maokai
blueBans,Vladimir,Karma,Gangplank
blueBans,Vladimir,Sivir,Karma
blueBans,Vladimir,Sivir,Karma
blueBans,Shen,Taliyah,Syndra
